,GPA_HIGHSCHOOL,Prior_Hours,ReFirstMathCrs,ReFirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
1,4.12,25,MAC1147,A_range,17,3.629411765,Retained
2,3.47,3,MAC1147,A_range,13,3.930769231,Retained
3,4,37,MAC2311/UP,A_range,15,3.72,Retained
4,3.46,0,MAC1147,B_range,13,2.946153846,Retained
5,4.11,0,MAC1105/C,Failed,13,2.461538462,Retained
6,2.6,7,MAC1105/C,B_range,9,2,Retained
7,4.02,50,NoAttempt,NoAttempt,12,1.925,Retained
8,4.49,60,MAC2311/UP,C_range,8,2.8125,Retained
9,3.75,9,MAC1147,B_range,12,3.233333333,Retained
10,3.6,44,MAC2311/UP,A_range,12,3.666666667,Dropped
11,4.02,6,MAC1105/C,B_range,12,2.658333333,Retained
12,3.13,14,MAC1147,C_range,20,2.03,Dropped
13,3.8,6,MAC1147,B_range,15,2.946666667,Retained
14,4,10,NoAttempt,NoAttempt,14,3.714285714,Retained
15,4.24,12,MAC1147,A_range,15,4,Retained
16,3.78,10,MAC1105/C,A_range,13,2.915384615,Dropped
17,3.3,0,MAC1105/C,Withdrawn,6,2,Retained
18,4.13,0,MAC1105/C,A_range,15,4,Retained
19,3.57,20,NoAttempt,NoAttempt,14,3.65,Retained
20,5,13,MAC1105/C,B_range,14,3.292857143,Dropped
21,3,0,MAC1105/C,B_range,15,2.446666667,Retained
22,3.9,19,MAC2311/UP,A_range,13,3.7,Retained
23,3.76,28,MAC1147,Withdrawn,6,1.5,Dropped
24,3.63,15,MAC1147,C_range,14,2.871428571,Retained
25,4.22,3,MAC1105/C,C_range,12,2,Retained
26,4.07,3,MAC1147,B_range,13,3.784615385,Retained
27,3.73,0,MAC1147,B_range,13,2.823076923,Retained
28,3.7,0,MAC1105/C,B_range,13,3.069230769,Retained
29,4.41,0,MAC1147,C_range,12,2.533333333,Dropped
30,4.1,6,MAC1147,A_range,15,3.546666667,Retained
31,2,0,MAC1105/C,Failed,10,0,Dropped
32,3,0,MAC1147,C_range,13,2.923076923,Retained
33,4.56,15,MAC1147,B_range,13,3.715384615,Retained
34,4.07,43,NoAttempt,NoAttempt,11,2.990909091,Retained
35,2.64,12,MAC1147,B_range,15,2.26,Retained
36,3.31,6,NoAttempt,NoAttempt,14,2.935714286,Retained
37,4.18,0,MAC1105/C,A_range,13,3.553846154,Retained
38,4.24,39,MAC1147,A_range,15,4,Retained
39,3.54,6,MAC1105/C,C_range,13,1.7,Dropped
40,3.93,0,NoAttempt,NoAttempt,13,3.530769231,Retained
41,4.09,27,MAC1147,C_range,12,2.8,Retained
42,3.44,14,MAC1147,Failed,15,1.2,Dropped
43,4.12,15,MAC2311/UP,Failed,15,2.466666667,Retained
44,3.51,15,MAC1147,A_range,16,3.29375,Retained
45,3.47,19,MAC1147,Failed,14,1.214285714,Dropped
46,3.92,0,MAC1105/C,A_range,13,3.930769231,Retained
47,3.59,0,MAC1147,A_range,14,3.8,Retained
48,3.92,18,MAC1147,B_range,15,3.146666667,Retained
49,2.89,3,MAC1105/C,Failed,7,1.157142857,Retained
50,4.65,26,MAC1147,A_range,14,3.564285714,Retained
51,3.92,0,MAC1147,B_range,15,2.746666667,Dropped
53,3.97,23,MAC1147,B_range,13,2.992307692,Retained
54,3.88,9,MAC1147,Failed,12,1.825,Retained
55,4.03,6,MAC2311/UP,Failed,16,2.11875,Retained
56,4.47,12,MAC1147,A_range,13,4,Retained
57,3.97,9,MAC1147,A_range,15,3.673333333,Retained
58,3.62,0,MAC1147,B_range,13,2.838461538,Retained
59,2.93,0,MAC1105/C,B_range,13,3.069230769,Retained
60,2.97,0,MAC1147,Withdrawn,6,0,Dropped
61,4.29,0,MAC1147,A_range,13,2.453846154,Retained
62,4.44,3,MAC2311/UP,A_range,15,3.66,Retained
63,3.84,0,MAC1105/C,A_range,14,3.271428571,Retained
64,4.75,32,MAC2311/UP,A_range,14,3.85,Retained
65,4.16,6,MAC1140/14,B_range,14,3.214285714,Retained
66,3.6,0,NoAttempt,NoAttempt,12,2.15,Retained
67,3.56,22,MAC1140/14,B_range,13,3.230769231,Retained
68,2.3,4,MAC1147,B_range,14,3.264285714,Retained
69,3.29,0,MAC1147,Withdrawn,3,2,Retained
70,2.78,4,MAC1147,Failed,12,0.408333333,Dropped
71,4.58,40,NoAttempt,NoAttempt,12,3.491666667,Retained
72,4.06,28,MAC1147,A_range,13,3.930769231,Retained
73,2.45,0,NoAttempt,NoAttempt,14,2.935714286,Dropped
74,3.81,36,MAC1147,B_range,14,3.128571429,Retained
75,4.02,27,MAC2311/UP,A_range,12,3.583333333,Retained
76,3.93,47,MAC2311/UP,Failed,13,0.923076923,Dropped
77,3.5,0,MAC1147,C_range,13,2.323076923,Dropped
78,2.4,11,MAC1105/C,B_range,12,2.333333333,Retained
79,4.28,60,MAC1147,A_range,13,3.053846154,Dropped
80,4.05,6,MAC1105/C,C_range,14,2.442857143,Retained
81,3.76,6,MAC1147,Withdrawn,12,2.425,Dropped
82,4.18,22,MAC2311/UP,B_range,16,3.575,Retained
83,4.26,28,MAC2311/UP,C_range,12,3.008333333,Retained
84,4.02,41,MAC1147,C_range,12,2.516666667,Retained
85,2.9,0,MAC1147,C_range,13,2.530769231,Retained
86,4.68,10,MAC1147,A_range,12,4,Retained
87,3.28,0,MAC1147,B_range,13,3.461538462,Retained
88,4.39,22,MAC2311/UP,A_range,14,3.078571429,Retained
89,4.2,10,NoAttempt,NoAttempt,13,3.584615385,Retained
90,3.81,0,MAC1147,C_range,14,1.842857143,Retained
91,3.19,12,MAC1147,B_range,16,3.31875,Retained
92,2.79,0,MAC1147,C_range,15,2.386666667,Retained
93,3.91,0,MAC1147,C_range,14,2.585714286,Retained
94,3.66,33,MAC1147,B_range,16,3.3,Retained
95,3.52,3,MAC1105/C,C_range,13,2.307692308,Retained
96,3.93,3,MAC1147,B_range,14,3.371428571,Retained
97,4.09,13,MAC2311/UP,C_range,15,3.16,Retained
98,3.61,7,MAC1147,Failed,11,1.545454545,Retained
99,3.02,11,MAC1105/C,Failed,12,0.666666667,Retained
100,4,26,MAC1147,A_range,13,3.946153846,Retained
101,4.4,16,MAC1147,B_range,13,3.476923077,Retained
102,3.37,13,MAC2311/UP,C_range,14,3.078571429,Retained
103,3.56,34,MAC2311/UP,A_range,13,3.469230769,Retained
104,3.39,9,NoAttempt,NoAttempt,12,3.5,Dropped
105,3.76,12,MAC1147,A_range,13,3.7,Retained
106,3.6,3,MAC1105/C,A_range,14,3.264285714,Retained
107,2.74,4,MAC1105/C,Withdrawn,3,0,Dropped
108,4.2,16,MAC1105/C,Withdrawn,11,2.945454545,Dropped
109,4.73,66,MAC1147,A_range,13,3.907692308,Retained
110,3.77,0,MAC1147,A_range,14,3.914285714,Retained
111,4.67,36,MAC1147,B_range,15,2.986666667,Retained
112,3.9,9,MAC1147,C_range,14,2.728571429,Retained
113,4.34,0,MAC1147,A_range,14,3.735714286,Retained
114,4.18,23,MAC1140/14,Withdrawn,5,0,Dropped
115,3.94,12,MAC1147,A_range,12,3.316666667,Retained
116,4.43,23,NoAttempt,NoAttempt,16,3.675,Retained
117,3.32,6,MAC1147,A_range,13,3.769230769,Retained
118,4.28,33,MAC1147,B_range,15,3.286666667,Retained
119,4.24,9,MAC1147,A_range,14,3.65,Retained
120,4.32,57,MAC1147,C_range,12,2.325,Retained
121,3.95,6,MAC1147,C_range,12,2.758333333,Retained
122,4.39,25,MAC2311/UP,B_range,15,2.74,Retained
123,4.58,43,MAC1147,A_range,13,4,Retained
124,4.04,40,MAC2311/UP,Withdrawn,9,2.2,Dropped
125,2.11,0,MAC1105/C,Failed,10,0,Dropped
126,3.47,0,MAC1105/C,A_range,10,3.4,Retained
127,3.42,9,MAC1105/C,C_range,12,2.458333333,Retained
128,2.75,0,MAC1147,Withdrawn,3,0,Dropped
129,4.39,28,MAC1140/14,B_range,10,3.42,Retained
130,2.86,0,MAC1147,C_range,12,2.475,Retained
131,4.37,18,MAC2311/UP,B_range,14,3.435714286,Retained
132,3.93,0,MAC1147,C_range,13,2.069230769,Retained
133,3.92,3,MAC1147,A_range,14,3.578571429,Retained
134,4.25,24,MAC2311/UP,Failed,12,1.6,Dropped
135,3.13,6,MAC1147,A_range,14,3.421428571,Retained
136,3.68,31,MAC1147,Failed,13,0,Dropped
137,3.88,54,NoAttempt,NoAttempt,13,3.469230769,Retained
138,3.14,9,MAC1105/C,C_range,14,2.692857143,Retained
139,3.12,6,MAC1105/C,Withdrawn,3,0,Dropped
140,3.03,0,MAC1147,C_range,9,2.544444444,Retained
141,3.62,6,MAC1147,Failed,13,0,Retained
142,4.22,0,MAC1147,Withdrawn,8,2.2625,Retained
143,4.41,43,MAC2311/UP,B_range,14,3.214285714,Retained
144,3.96,37,MAC1147,A_range,14,4,Retained
145,5.07,76,NoAttempt,NoAttempt,4,2.475,Dropped
146,3.8,15,MAC1147,A_range,14,3.721428571,Retained
147,3.05,3,MAC1147,C_range,13,2.553846154,Retained
148,3.98,10,MAC2311/UP,A_range,15,4,Retained
149,3.43,31,MAC1147,Withdrawn,11,1.8,Dropped
150,4.31,31,MAC1147,C_range,15,2.806666667,Retained
151,2.95,0,MAC1105/C,C_range,15,1.68,Dropped
152,2.9,0,MAC1147,Failed,13,2.246153846,Dropped
153,3.54,3,MAC1147,B_range,14,3.2,Retained
154,4.02,0,MAC1147,A_range,15,2.74,Retained
155,4.07,9,MAC1140/14,A_range,14,3.514285714,Retained
156,3.8,9,MAC1147,B_range,13,3.084615385,Retained
157,3.84,19,NoAttempt,NoAttempt,12,3.75,Retained
158,3.54,0,MAC1105/C,C_range,14,2.421428571,Retained
159,3.53,0,NoAttempt,NoAttempt,15,3.646666667,Retained
160,4.61,12,MAC1147,A_range,13,3.930769231,Retained
161,4.73,98,NoAttempt,NoAttempt,13,3.853846154,Retained
162,3.34,30,MAC1147,B_range,15,3.333333333,Retained
163,3.33,0,MAC1147,Failed,14,1.857142857,Retained
164,3.65,0,MAC1147,C_range,14,2.65,Retained
165,4.8,44,MAC1147,A_range,13,4,Retained
166,4.02,71,NoAttempt,NoAttempt,9,2.233333333,Retained
167,3.42,15,NoAttempt,NoAttempt,12,1.5,Retained
168,4.23,32,MAC1147,A_range,16,3.21875,Retained
169,4.44,29,MAC1105/C,A_range,14,3.864285714,Retained
170,3.94,6,MAC2311/UP,B_range,12,2.916666667,Retained
171,2.3,7,MAC1105/C,Withdrawn,4,2,Retained
172,3.3,12,MAC1147,Failed,15,2.006666667,Retained
173,3.33,0,MAC1105/C,B_range,14,3.157142857,Retained
174,3.34,0,MAC1147,B_range,14,3.214285714,Retained
175,3.83,9,MAC1147,C_range,15,2.213333333,Retained
176,3.6,0,MAC1105/C,A_range,13,2.846153846,Retained
177,3.43,0,MAC1105/C,B_range,14,2.707142857,Retained
178,4.01,61,MAC1147,A_range,13,3.930769231,Retained
179,3.7,10,MAC1105/C,C_range,13,1.861538462,Dropped
180,3.8,25,MAC1147,C_range,12,2.691666667,Retained
181,3,0,MAC1147,Withdrawn,0,0,Dropped
182,4.07,12,MAC1147,A_range,15,3.46,Retained
183,4.69,33,MAC1147,Withdrawn,12,3.725,Retained
184,3.58,0,MAC1147,B_range,14,2.907142857,Retained
185,4.02,3,MAC1147,B_range,13,2.769230769,Retained
186,3.71,9,MAC1105/C,B_range,13,3.161538462,Retained
187,3.43,12,MAC1105/C,C_range,15,1.553333333,Retained
188,4.21,52,MAC1147,C_range,17,2.835294118,Retained
189,4.32,33,NoAttempt,NoAttempt,14,3.221428571,Retained
190,2.68,0,MAC1105/C,Failed,13,2.615384615,Retained
191,3.26,11,MAC1105/C,C_range,15,2.133333333,Retained
192,4.6,63,MAC1147,A_range,15,4,Retained
193,4.39,61,MAC1147,B_range,12,3.316666667,Retained
194,3.15,30,MAC1147,A_range,13,3.1,Retained
195,4,44,MAC2311/UP,Failed,14,2.478571429,Retained
196,4.24,0,MAC1147,A_range,14,3.65,Retained
197,4,9,MAC2311/UP,C_range,12,3.108333333,Dropped
198,4.56,13,MAC1147,A_range,14,3.65,Retained
199,3.73,0,MAC1147,B_range,15,3.233333333,Retained
200,4.06,10,MAC1105/C,B_range,10,2.52,Retained
201,3.49,0,MAC1147,Withdrawn,10,3.1,Retained
202,4.6,28,NoAttempt,NoAttempt,14,3.721428571,Retained
203,3.9,23.3,MAC1147,A_range,12,3.183333333,Retained
204,3.64,15,MAC2311/UP,C_range,13,2.715384615,Dropped
205,3.31,3,MAC1147,B_range,15,3.126666667,Retained
206,3.23,0,MAC2311/UP,Withdrawn,9,2.233333333,Retained
207,3.53,6,MAC1105/C,A_range,14,3.8,Dropped
208,3.5,0,NoAttempt,NoAttempt,13,3.246153846,Retained
209,4.07,28,NoAttempt,NoAttempt,12,4,Retained
210,3.57,60,MAC1140/14,C_range,11,1.818181818,Retained
211,4.16,20,MAC1147,Withdrawn,8,2.3,Retained
212,4.67,60,MAC2311/UP,A_range,12,3.925,Dropped
213,3.3,0,MAC1105/C,C_range,14,2.364285714,Retained
214,2.94,16,MAC1147,C_range,14,2.514285714,Retained
215,4.24,3,MAC1147,B_range,13,3.323076923,Dropped
216,2.79,19,MAC1147,C_range,15,2.626666667,Retained
217,3.39,0,MAC1147,B_range,14,3.157142857,Retained
218,3.93,27,MAC1147,B_range,12,3.241666667,Retained
219,3.1,0,MAC1147,Failed,15,2.14,Retained
220,3.3,12,MAC1147,A_range,14,3.935714286,Retained
221,2.21,0,MAC1105/C,B_range,14,2.571428571,Dropped
222,2.99,10,MAC1147,C_range,13,1.538461538,Dropped
223,4.68,43,MAC2311/UP,A_range,15,3.813333333,Retained
224,3.78,88,MAC2311/UP,Withdrawn,10,3,Retained
225,3.89,0,MAC1147,A_range,14,3.785714286,Retained
226,4.13,6,MAC2311/UP,A_range,13,3.469230769,Retained
227,4.7,0,MAC1147,A_range,14,3.785714286,Retained
228,4.59,68,MAC2311/UP,A_range,12,3.416666667,Retained
229,4.44,6,MAC1105/C,A_range,14,3.421428571,Retained
230,4.25,18,MAC2311/UP,Failed,12,2.475,Retained
231,3.76,0,MAC1147,Withdrawn,0,0,Dropped
232,3.72,13,MAC1147,B_range,14,3.342857143,Retained
233,2.34,3,MAC1147,Withdrawn,4,1.5,Dropped
234,3.71,44,MAC1147,C_range,13,2,Retained
235,4.03,0,MAC1147,A_range,15,4,Retained
236,4.64,81,NoAttempt,NoAttempt,14,3.935714286,Retained
237,4.94,3,MAC1147,B_range,13,3.3,Retained
238,3.21,22,MAC1105/C,B_range,14,3.392857143,Retained
239,4.21,62,NoAttempt,NoAttempt,13,2.784615385,Retained
240,4.53,13,MAC2311/UP,B_range,12,3.416666667,Retained
241,4.19,3,MAC1147,A_range,16,3.625,Retained
242,4.07,6,MAC1140/14,B_range,14,2.992857143,Retained
243,3.34,31,MAC1105/C,C_range,8,2.85,Retained
244,3.87,15,MAC1147,C_range,12,1.541666667,Dropped
245,4.51,39,NoAttempt,NoAttempt,13,3.623076923,Retained
246,3.55,0,MAC1105/C,Withdrawn,4,0,Dropped
247,4.6,43,MAC2311/UP,C_range,13,3.1,Retained
248,4.31,3,MAC1147,A_range,14,4,Retained
249,2.9,13,MAC1147,Withdrawn,0,0,Dropped
250,3.85,16,MAC1147,B_range,15,3.593333333,Retained
251,2.7,1,MAC1147,Failed,11,0.663636364,Dropped
252,2.78,6,MAC1147,Failed,16,0.80625,Dropped
253,3.64,12,NoAttempt,NoAttempt,15,2.4,Retained
254,3.08,7,NoAttempt,NoAttempt,0,0,Dropped
255,3.93,60,MAC2311/UP,C_range,11,2.536363636,Retained
256,3.72,18,MAC1105/C,Withdrawn,6,2.85,Retained
257,4.46,24,MAC1140/14,C_range,14,2.8,Retained
258,3.83,12,NoAttempt,NoAttempt,13,3.630769231,Retained
259,3.45,15,MAC1147,A_range,13,3.146153846,Dropped
260,3.5,0,MAC1147,C_range,13,2.207692308,Retained
261,3.33,0,MAC1147,A_range,14,3.457142857,Retained
262,4.12,89,NoAttempt,NoAttempt,15,3.46,Retained
263,3.27,64,MAC1147,Failed,15,2.146666667,Retained
264,3,12,MAC1147,Failed,14,2.142857143,Retained
265,4.08,37,MAC1147,A_range,14,3.635714286,Retained
266,2.92,19,MAC1147,Withdrawn,8,1.525,Dropped
267,3.76,6,NoAttempt,NoAttempt,15,3.34,Retained
268,3.07,9,MAC1147,C_range,12,2.633333333,Retained
269,4.2,49,NoAttempt,NoAttempt,13,0.130769231,Dropped
270,3.23,0,MAC1147,C_range,14,2.4,Retained
271,3.89,21,MAC1147,B_range,13,2.776923077,Retained
272,4,29,MAC1147,A_range,15,3.613333333,Dropped
273,4.24,7,MAC2311/UP,C_range,12,2.575,Retained
274,3.63,20,MAC1147,A_range,13,3.946153846,Retained
275,4.05,9,MAC1147,A_range,13,3.076923077,Retained
276,3.89,21,MAC2311/UP,C_range,12,3.025,Retained
277,2.62,6,MAC1147,C_range,14,2.157142857,Dropped
278,4.41,26,MAC2311/UP,B_range,14,2.571428571,Retained
279,3.45,7,NoAttempt,NoAttempt,14,3.571428571,Retained
280,4.4,62,MAC2311/UP,A_range,17,4,Dropped
281,4.17,40,MAC1147,Failed,14,1.285714286,Dropped
282,4.18,22,MAC2311/UP,C_range,14,2.935714286,Dropped
283,4.17,9,NoAttempt,NoAttempt,15,3.74,Retained
284,3.67,24,MAC1147,A_range,15,3.533333333,Retained
285,4.09,23,MAC1147,C_range,11,2.090909091,Retained
286,4.57,18,MAC1147,B_range,13,3.623076923,Retained
287,3.43,6,MAC1147,A_range,14,3.421428571,Retained
288,3.27,9,MAC1147,B_range,14,3.035714286,Retained
289,4.32,88,NoAttempt,NoAttempt,14,2.685714286,Retained
290,4.05,9,MAC1147,A_range,13,4,Retained
291,3.6,4,NoAttempt,NoAttempt,12,3.025,Retained
292,6.01,46,MAC2311/UP,B_range,15,3.673333333,Retained
293,4.17,0,MAC1105/C,B_range,15,3,Retained
294,3.71,0,MAC1147,A_range,15,3.8,Retained
295,4.6,32,NoAttempt,NoAttempt,14,4,Retained
296,3.3,30,MAC1105/C,B_range,14,2.285714286,Retained
297,4.41,21,MAC1147,A_range,13,3.838461538,Retained
298,3.11,0,MAC1105/C,B_range,10,2.58,Retained
299,4.66,53,NoAttempt,NoAttempt,12,3.091666667,Retained
300,3.8,16,MAC1147,A_range,14,3.5,Dropped
301,3.96,0,MAC1147,B_range,12,3.108333333,Retained
302,4.45,56,MAC2311/UP,Withdrawn,8,2.2625,Dropped
303,2.84,10,MAC1147,B_range,14,3.435714286,Retained
